第一   mq
页   q
一   m
社会   n
公平   a
农村   n
贫困人口   nz
2600   m
多   a
万   m
城市   n
低保   n
对象   n
近   a
2000   m
万   m
人民   n
生活   vn
总体   n
上   f
达到   v
小康水平   nz
全社会   nz
消费   vn
规模   n
日益   d
扩大   v
为   p
经济   n
增长   v
创造   v
巨大   a
需求   n
潜力   n
；   w
但   c
居民收入   nz
水平   n
和   cc
消费水平   nz
总体   n
上   f
较低   d
仍   d
处于   v
低水平   nz
不   d
全面   ad
发展   vn
不   d
平衡   a
的   ude1
小康   n
阶段   n
权威   n
点评   v
国务院发展研究中心   nt
副主任   nnt
刘世锦   nr
介绍   v
对   p
社会主义   n
初级阶段   nz
的   ude1
小康水平   nz
一定   b
要   v
有   vyou
清醒认识   l
十一五   m
时期   n
的   ude1
一   m
项   q
重要   a
任务   n
就是   v
在   p
加快   v
发展   vn
的   ude1
同时   c
通过   p
体制   n
和   cc
政策   n
上   f
的   ude1
收入   n
分配   v
调整   vn
让   v
越来越   d
多   a
的   ude1
人   n
切实   ad
感受到   nz
发展   vn
成果   n
分配   v
的   ude1
公平性   n
要   v
通过   p
多种   m
途径   n
帮助   v
低收入   n
群体   n
特别   d
是   vshi
最   d
困难   an
的   ude1
那   rzv
部分   n
人群   n
现阶段   t
促进   v
公平   a
分享   v
发展   vn
成果   n
既要   b
考虑   v
结果   n
公平   a
重点   n
还是   c
要   v
放在   v
机会   n
公平   a
就业   vn
是   vshi
最好   d
的   ude1
扶贫   vn
必须   d
千方百计   dl
地   ude2
扩大   v
就业   vn
岗位   n
二   m
体制   n
障碍   n
非国有经济   n
增加值   n
占   v
GDP   nx
比重   n
超过   v
60   m
％   w
市场化   vn
程度   n
不断   d
提高   v
各类   r
市场主体   nz
的   ude1
发展   vn
活力   n
进一步   d
激发   v
为   p
经济社会   nz
发展   vn
提供   v
新的   a
动力   n
和   cc
保障   vn
；   w
但   c
生产力   n
发展   vn
仍然   d
面临   v
诸多   m
体制性   n
机制   n
性障碍   nhd
权威   n
点评   v
刘世锦   nr
介绍   v
如果说   c
以前   f
的   ude1
中国   ns
改革   vn
是   vshi
以   p
破   v
为主   vi
那么   c
深水   b
区   n
改革   vn
则   d
以   p
立   v
为主   vi
着力   vd
解决   v
制约   vn
科学   n
发展   vn
的   ude1
一系列   b
深层次   nz
矛盾   an
和   cc
问题   n
在   p
重要   a
领域   n
和   cc
关键环节   nz
取得   v
突破   v
包括   v
以政府   nt
职能   n
转变   v
为   p
重点   n
加快   v
行政   n
管理   vn
体制改革   v
；   w
深化   v
国有企业   nz
和   cc
金融体制   nz
改革   vn
完善   v
科学   n
发展   vn
的   ude1
微观   n
基础   n
；   w
加快   v
生产要素   v
价格   n
改革   vn
使   v
市场   n
在   p
资源配置   nz
中   f
更大   d
程度   n
地   ude2
发挥   v
基础性   n
作用   n
除此之外   al
在   p
对外贸易   n
和   cc
投资   vn
收入   n
分配   v
社会发展   v
等   udeng
领域   n
都   d
需要   v
加快   v
改革   vn
理顺   v
重要   a
关系   n
三   m
社会   n
结构   n
1   m
亿   m
多   a
网民   gi
1   m
亿   m
多   a
农民工   nnd
1   m
亿   m
多   a
富余   vn
劳动力   n
需   v
转移   v
社会   n
结构   n
和   cc
社会   n
组织   n
发生   v
深刻   a
变化   vn
社会   n
活力   n
显著   ad
上升   vi
；   w
但   c
收入   n
分配   v
的   ude1
差距   n
在   p
扩大   v
部分   n
社会群体   nz
就业   vn
难度   n
增加   v
社会   n
事业   n
发展   vn
滞后   v
人民内部矛盾   nz
有   vyou
了   ule
新的   a
表现   v
社会   n
建设   vn
和   cc
管理   vn
面临   v
一系列   b
新   a
课题   n
权威   n
点评   v
郑必坚   nr
介绍   v
黄金   n
发展期   n
将   d
与   cc
矛盾   an
凸显   v
期   qv
并存   vi
建设   vn
社会主义   n
和谐社会   nz
是   vshi
一   m
项   q
长期   d
的   ude1
历史   n
任务   n
在   p
经济社会   nz
发展   vn
的   ude1
不同   a
阶段   n
又   d
有   vyou
不同   a
的   ude1
要求   n
十一五   m
时期   n
加快   v
建设   vn
和谐社会   nz
要   v
按照   p
24   m
字   n
要求   n
结合   v
现阶段   t
特点   n
选准   nz
正确   a
的   ude1
切入点   n
稳步   d
加以   vx
推进   vi
要   v
坚持   v
以人为本   l
从   p
解决   v
关系   n
群众   n
切身利益   n
的   ude1
现实   n
问题   n
着手   v
包括   v
解决   v
群众   n
最   d
迫切要求   nz
解决   v
的   ude1
问题   n
群众   n
最   d
恼火   a
的   ude1
问题   n
等等   udeng
加快   v
推进   vi
和谐社会   nz
建设   vn
四   m
地区   n
差距   n
2004   m
年   qt
西部   f
中部   f
和   cc
东北地区   nz
人均   a
GDP   nx
分别   d
相当于   v
东部   f
地区   n
44   m
％   w
38   m
％   w
和   cc
73   m
％   w
各地区   nz
分工协作   n
共同   d
发展   vn
的   ude1
格局   n
正在   d
形成   v
；   w
但   c
不同   a
地区   n
之间   f
基础教育   n
公共卫生   nz
社会保障   nz
等   udeng
公共服务   nz
差距   n
很大   d
权威   n
点评   v
全国政协   nt
委员   nnt
牛   n
文元   n
介绍   v
任何   rz
一个   mq
地区   n
都   d
不   d
可能   v
把   pba
自己   rr
封闭   v
起来   vf
要   v
打破   v
行政区域   n
局限   vi
发达   a
地区   n
要   v
采取   v
多种   m
方式   n
帮助   v
欠发达   nz
地区   n
最终   d
实现   v
共同富裕   nz
和   cc
共同   d
发展   vn
十一五   m
时期   n
区域   n
协调发展   v
的   ude1
一个   mq
亮点   n
是   vshi
按   p
功能   n
区划   n
分来   v
界定   vn
不同   a
地区   n
经济   n
开发   vn
程度   n
按照   p
优化   v
开发   vn
重点   n
开发   vn
限制   vn
开发   vn
和   cc
禁止   v
开发   vn
的   ude1
不同   a
要求   n
明确   a
不同   a
区域   n
的   ude1
功能定位   nz
并   cc
制定   v
相应   vi
的   ude1
政策   n
和   cc
评价   vn
指标   n
五   m
政治   n
参与   v
5   m
年   qt
立法   vn
百   m
余   ng
件   q
社会主义   n
民主   a
政治   n
不断   d
发展   vn
人民   n
群众   n
政治   n
参与   v
的   ude1
积极性   n
不断   d
提高   v
；   w
但   c
有法不依   vl
执法不严   vl
违法不究   l
的   ude1
现象   n
依然   d
存在   v
公民   n
有序   a
的   ude1
政治   n
参与   v
尚需   v
扩大   v
权威   n
点评   v
中央党校   nt
原   b
常务   b
副校长   nnt
郑必坚   nr
介绍   v
社会主义   n
民主   a
政治   n
使   v
占   v
世界   n
约   d
五   m
分之一   n
人口   n
的   ude1
中国   ns
人民   n
在   p
自己   rr
的   ude1
国家   n
和   cc
社会   n
生活   vn
中   f
当家做主   vl
享有   v
广泛   a
的   ude1
民主权利   nz
这   rzv
是   vshi
对   p
人类   n
政治文明   nz
发展   vn
的   ude1
重大贡献   n
但   c
我国   n
民主   a
政治   n
建设   vn
还有   v
很长   d
的   ude1
路   n
要   v
走   v
在   p
当前   t
和   cc
今后   t
一个   mq
时期   n
我国   n
将   d
通过   p
积极   ad
稳妥   a
地   ude2
推进   vi
政治   n
体制改革   v
坚持   v
和   cc
完善   v
社会主义   n
民主制度   nz
加强   v
和   cc
健全   v
社会主义   n
法制   n
改革   vn
和   cc
完善   v
政府   nis
决策   vn
机制   n
促进   v
经济发展   v
和   cc
社会   n
全面进步   n
同时   c
我国   n
还要   d
大力   d
推进   vi
社区   ns
民主村   ns
民   ng
自治   vn
职工   nnt
代表大会   n
制度   n
建设   vn
等   udeng
城乡   n
基层   n
民主   a
以   p
多种形式   nz
扩大   v
公民   n
有序   a
的   ude1
政治   n
参与   v
第二   mq
页   q
六   m
资源   n
约束   vn
2000   m
年   qt
能源   n
消费   vn
13   m
亿   m
吨   q
标准煤   n
2004   m
年   qt
能源   n
消费   vn
近   a
20   m
亿   m
吨   q
消费结构   nz
升级   vi
带动   v
产业结构   nz
升级   vi
工业化   vn
进入   v
新阶段   nz
形成   v
一   m
批   q
新的   a
经济   n
增长点   n
；   w
但   c
粗放型   b
经济   n
增长   v
方式   n
和   cc
结构性   n
矛盾   an
引发   v
的   ude1
资源   n
环境   n
瓶颈   n
约束   vn
加剧   v
权威   n
点评   v
刘世锦   nr
介绍   v
大家   rr
都   d
认为   v
我国   n
生产   vn
并   cc
