年   qt
一过   c
完   vi
各地   rzs
大大小小   z
的   ude1
招聘会   n
闪亮   v
登场   vi
了   ule
在   p
成千上万   vl
的   ude1
应聘者   n
中   f
人数   n
最多   ad
的当   a
是   vshi
那些   rz
应届   b
毕业   v
的   ude1
大学生   nnt
们   k
与此同时   c
高校   n
陆续   d
开学   vi
临近   v
毕业   v
的   ude1
学子   n
们   k
再也   d
坐不住   v
了   ule
张望   v
不少   mq
高年级   n
教室   n
稀稀拉拉   z
没   d
几   d
个   q
人   n
大学   nis
生活   vn
的   ude1
主旋律   n
学业   n
渐渐   d
被   pbei
就业   vn
两   m
个   q
字   n
取代   v
是   vshi
抓紧时间   l
找   v
工作   vn
还是   c
按部就班   vl
上课   vi
学   v
知识   n
这个   rz
问题   n
越来越   d
成为   v
一道   d
令人   v
忧心   n
的   ude1
高校   n
难题   n
就业   vn
挑战   vn
学业   n
大学生   nnt
忧心   n
的   ude1
难题   n
教室里   nz
冒出   vf
代   q
听课   vi
近日   t
上海   ns
一   m
所   usuo
高校   n
的   ude1
校园   n
BBS   nx
上   f
跳出   v
了   ule
一则   c
雇人   v
代为   v
听课   vi
的   ude1
帖子   n
有   vyou
没有   v
女生   n
愿意   v
代替   v
我   rr
去   vf
上课   vi
报酬   n
面谈   v
发帖人   n
是   vshi
一   m
名   q
刚   d
升入   v
大   a
四   m
的   ude1
女生   n
她   rr
得到   v
了   ule
在   p
一家   n
世界   n
500   m
强   a
企业   n
实习   vn
的   ude1
机会   n
可是   c
周三   t
下午   t
的   ude1
选修课   n
把   pba
我   rr
的   ude1
实习   vn
时间   n
彻底   ad
打乱   v
了   ule
一   m
名   q
透露   v
自己   rr
也   d
曾   d
接过   v
这类   r
活儿   n
的   ude1
大   a
三   m
男生   n
小王   nz
透露   v
了   ule
时下   t
大多数   m
高校   n
代   q
听课   vi
的   ude1
行情   n
每节课   n
酬劳   n
20   m
元   q
那时   rzt
找   v
小王   nz
替代   v
自己   rr
上课   vi
的   ude1
是   vshi
一   m
名   q
研究生   nnt
理由   n
也   d
是因为   c
实习   vn
安排   v
与   cc
课程   n
发生   v
了   ule
冲突   vn
小王   nz
所要   b
做   v
的   ude1
就是   v
每周   t
按时   d
去   vf
上课   vi
老师   nnt
点名   v
的   ude1
时候   n
他   rr
答   v
一   m
声   qv
到   v
对于   p
这种   r
出钱   v
雇人   v
上课   vi
的   ude1
做法   n
日前   t
有   vyou
高校   n
开展   v
了   ule
一   m
项   q
校园   n
调查结果   n
表明   v
虽然   c
大部分   n
学生   nnt
并不   d
赞赏   v
但   c
被   pbei
问及   v
会   v
否   vg
在   p
必要   a
的   ude1
情况下   nz
雇人   v
代   q
听课   vi
或者   c
受雇   nz
代为   v
上课时   n
大多数   m
同学   n
都   d
表示   v
可以   v
接受   v
一边   d
是   vshi
实习   vn
一边   d
是   vshi
上课   vi
这   rzv
对   p
矛盾   an
现实   n
地   ude2
摆在   v
了   ule
大   a
四   m
学生   nnt
的   ude1
面前   f
教育界   n
人士   n
指出   v
为   p
实习   vn
放弃   v
课程   n
的   ude1
做法   n
在   p
国内   s
各地   rzs
高校   n
的   ude1
大   a
四   m
学生   nnt
中   f
早已   d
不是   c
个别现象   nz
大   a
公司   nis
热衷   v
割   v
早稻   n
就业   vn
挑战   vn
学业   n
已   d
不仅仅   d
是   vshi
对   p
大   a
四   m
学生   nnt
而言   uls
眼下   t
随着   p
找   v
实习   vn
的   ude1
风潮   n
在   p
大学   nis
里   f
不断   d
升温   vi
许多   m
还   d
未   d
到   v
求职   vn
阶段   n
的   ude1
低年级   n
本科生   nnt
和   cc
研究生   nnt
也   d
开始   v
了   ule
竞逐   v
实习   vn
岗位   n
每天   t
他们   rr
在   p
校园   n
BBS   nx
的   ude1
求职   vn
兼职   vn
专版   n
穿梭   vi
进入   v
各   rz
大   a
网站   n
刷新   v
点击   v
求职   vn
信息   n
甚至   d
有人   r
闻风而动   vl
直奔   v
企业   n
俨然   z
一   m
副   b
毕业   v
求职   vn
的   ude1
模样   n
令   v
大   a
四   m
学长   n
也   d
唏嘘   vi
不已   vi
用人单位   nz
对   p
高校   n
人才   n
愈演愈烈   vl
的   ude1
争夺战   n
已经   d
开始   v
向   p
低年级   n
发展   vn
一些   m
大   a
公司   nis
特别   d
是   vshi
跨国公司   nis
倚仗   v
一般   ad
企业   n
无可比拟   vl
的   ude1
吸引力   n
理直气壮   al
地   ude2
在   p
高校   n
割起   v
了   ule
早稻   n
这些   rz
公司   nis
从   p
大   a
二   m
大   a
三学   j
生   v
中   f
物色人选   n
主要   b
途径   n
就是   v
招   v
实习生   nnt
招   v
实习生   nnt
就   d
像   v
招   v
正式   ad
员工   n
一样   uyy
严格   ad
发布   v
信息   n
广收   nr
简历   n
组织   n
笔试   n
层层   q
面试   vi
这样   rzv
兴师动众   vl
是   vshi
为   p
增加   v
对   p
学生   nnt
的   ude1
考察   v
时间   n
尽早   d
圈定   v
一   m
批   q
人才   n
由于   p
学生   nnt
们   k
对   p
大   a
公司   nis
的   ude1
实习   vn
岗位   n
非常   d
向往   v
竞争   vn
异常   a
激烈   a
刚刚   d
从   p
上海交大   nt
毕业   v
的   ude1
小   a
李大   nr
三   m
时   qt
就   d
在   p
一家   n
著名   a
会计师   nnt
事务所   nis
实习   vn
去年底   t
当   p
同学们   nz
还   d
在   p
四处   d
投   v
简历   n
找   v
工作   vn
时   qt
他   rr
已   d
顺利   ad
地被   n
这家   r
公司   nis
录用   v
即使   c
不能   v
被   pbei
实习   vn
单位   n
录用   v
在   p
大   a
公司   nis
的   ude1
实习   vn
经历   n
也   d
是   vshi
日后   t
求职   vn
简历   n
上   f
的   ude1
一大   n
