中学   nis
历史课   n
的   ude1
内容   n
纵贯   v
古今   n
横   dg
揽   v
中外   b
涉及   v
到   v
经济   n
政治   n
军事   n
文化   n
和   cc
科学技术   n
等   udeng
各个领域   l
的   ude1
发展   vn
和   cc
演变   vi
它   rr
丰富   a
的   ude1
内容   n
常常   d
使   v
学生   nnt
产生   v
浓厚   a
的   ude1
学习   v
兴趣   n
；   w
它   rr
纷繁   a
的   ude1
头绪   n
又   d
往往   d
给   p
学生   nnt
带来   v
记忆   n
的   ude1
困难   an
不少   mq
学生   nnt
反映   v
历史学   n
起来   vf
有兴趣   v
记起来   nz
真   a
困难   an
因此   c
爱   v
上课   vi
怕   v
考试   vn
原因   n
之一   rz
是   vshi
他们   rr
记忆   n
历史   n
知识   n
的   ude1
方法   n
不对头   nz
俗话说   vl
方法   n
得当   a
事半功倍   vl
；   w
方法   n
不当   a
事倍功半   i
这里   rzs
我们   rr
介绍   v
几   d
种   q
记忆   n
历史   n
知识   n
的   ude1
方法   n
可   v
在   p
教师   nnt
的   ude1
指导   vn
下   f
帮助   v
学生   nnt
克服困难   nz
较快   d
地   ude2
掌握   v
历史   n
知识   n
一   m
网络   n
记忆法   nz
这种   r
方法   n
适宜   v
记忆   n
复杂   a
的   ude1
历史   n
事件   n
一个   mq
复杂   a
的   ude1
历史   n
事件   n
头   n
多   a
面广   nz
靠   v
机械   n
识记   nz
方法   n
生   v
死记硬背   vl
留在   v
脑海   n
里   f
的   ude1
印象   n
是   vshi
杂乱无章   al
模糊不清   al
的   ude1
回忆   v
起来   vf
也   d
必然   d
是   vshi
支离破碎   al
残缺不全   al
的   ude1
如果   c
我们   rr
经过   p
认真   ad
分析   vn
首先   d
找出   v
这个   rz
历史   n
事件   n
有   vyou
几   d
个   q
要点   n
再进一步   l
弄清   v
这   rzv
几   d
个   q
要点   n
之间   f
的   ude1
联系   v
这样   rzv
形成   v
一个   mq
网络   n
就   d
便于   v
记住   v
了   ule
当   p
需要   v
回忆   v
的   ude1
时候   n
只要   c
把   pba
这个   rz
网络   n
撒开   nz
储存   v
在   p
脑海   n
里   f
有关   vn
这个   rz
历史   n
事件   n
的   ude1
印象   n
就   d
会   v
完整   a
准确   a
清晰   a
迅速   ad
地   ude2
重现   v
这   rzv
就是   v
网络   n
记忆法   nz
比如   v
要   v
记   v
忆   v
井冈山   ns
根据地   n
是   vshi
怎样   ryv
建立   v
的   ude1
这个   rz
历史   n
事件   n
我们   rr
经过   p
分析   vn
首先   d
确定   v
它   rr
有   vyou
五   m
个   q
要点   n
①   m
湘赣   n
暴动   vn
；   w
②   m
文家   n
市   n
转移   v
；   w
③   m
三   m
湾   ng
改编   v
；   w
④   m
井冈   ns
树   n
旗   n
；   w
⑤   m
砻市   nz
会师   vi
然后   c
弄清   v
它们   rr
之间   f
的   ude1
联系   v
也   d
就是   v
要点   n
的   ude1
顺序   n
和   cc
要点   n
之间   f
衔接   vi
的   ude1
内在   b
关系   n
这样   rzv
就   d
能够   v
牢固地   n
记忆   n
这个   rz
历史   n
事件   n
了   ule
网络   n
记忆法   nz
建立   v
在   p
理解   v
的   ude1
基础上   nz
必须   d
理解   v
要点   n
之间   f
的   ude1
联系   v
和   cc
每个   mq
要点   n
本身   rz
所   usuo
包含   v
的   ude1
内容   n
和   cc
实质   n
这   rzv
就   d
要求   n
对   p
历史   n
事件   n
进行   vn
认真   ad
仔细   ad
的   ude1
分析   vn
分析   vn
得越   v
透彻   a
理解   v
得越   v
深刻   a
记忆   n
得越   v
牢固   a
否则   c
它   rr
的   ude1
用处   n
不大   d
比如   v
要点   n
④   m
井冈   ns
树   n
旗   n
它   rr
包含   v
开展   v
游击战争   n
发动   v
土地革命   nz
建立   v
地方   n
武装   n
恢复   v
地方   n
党组织   n
成立   vi
工农   n
政权   n
等   udeng
内容   n
从   p
实质上   nz
说   v
井冈山   ns
革命   vn
根据地   n
的   ude1
创立   v
在实践上   n
为   p
中国   ns
革命   vn
开辟   v
了   ule
道路   n
所以   c
我们   rr
用   p
井冈   ns
树   n
旗   n
概括   v
了   ule
这个   rz
要点   n
如果   c
对   p
这个   rz
要点   n
的   ude1
内容   n
和   cc
实质   n
全然   d
不   d
理解   v
光   n
记住   v
一个   mq
井冈   ns
树   n
旗   n
它   rr
就   d
不能   v
发挥   v
启发   vn
思维   n
恢复   v
印象   n
的   ude1
作用   n
那   rzv
有   vyou
什么   ry
用   p
呢   y
二   m
归类   vi
记忆法   nz
这种   r
方法   n
适用   vi
于   p
总   b
复习   vn
历史   n
课本   n
的   ude1
内容   n
十分   d
繁复   a
孤立   a
地   ude2
去   vf
死记硬背   vl
历史   n
基础知识   nz
必然   d
弄得   d
头晕   vi
脑胀   nz
结果   n
还是   c
糊里糊涂   z
一锅粥   n
如果   c
采取   v
归类   vi
记忆法   nz
把   pba
历史   n
基础知识   nz
分门别类   dl
地   ude2
按   p
问题   n
的   ude1
性质   n
依次   d
归纳到   l
一起   s
捋   v
出   vf
一   m
条   q
条   q
线索   n
就   d
便于   v
记忆   n
了   ule
这   rzv
叫   vi
归类   vi
记忆法   nz
比如   v
中国   ns
近代史   n
可以   v
这样   rzv
归类   vi
一   m
次   qv
失败   vi
的   ude1
变法   vi
（   w
戊戌变法   nz
）   w
；   w
两   m
个   q
阶级   n
的   ude1
诞生   vi
（   w
无产阶级   n
和   cc
民族资产阶级   nz
）   w
；   w
三   m
次   qv
革命   vn
高潮   n
（   w
太平天国   n
义和团运动   nz
辛亥革命   nz
）   w
；   w
四   m
个   q
重要   a
的   ude1
不平等条约   nz
（   w
《   w
南京   ns
条约   n
》   w
《   w
马关   ns
条约   n
》   w
《   w
辛丑   mq
条约   n
》   w
《   w
二十一   m
条   q
》   w
）   w
；   w
五   m
次   qv
重大   a
的   ude1
帝国主义   n
侵华   vn
战争   n
（   w
鸦片战争   nz
第二次鸦片战争   nz
中法战争   nz
中   f
日   b
甲午战争   nz
八国联军   n
侵华   vn
战争   n
）   w
再   d
比如   v
台湾   ns
自古以来   dl
就是   v
中国   ns
的   ude1
领土   n
我们   rr
可以   v
按   p
朝代   n
先后   d
把   pba
有关   vn
大陆   ns
与   cc
台湾   ns
关系   n
的   ude1
史实   n
列出来   v
三国   t
时期   n
东吴   ns
卫   ng
温率   nr
万   m
人   n
船队   nis
到   v
夷洲   nz
即   v
台湾   ns
；   w
元朝   t
在   p
福建   ns
行省   nz
的   ude1
同安县   ns
设置   v
澎湖   ns
