本文   r
从   p
心理学   n
的   ude1
角度   n
就   d
如何   ryv
培养   v
学生   nnt
的   ude1
创造力   n
作   v
如下   vi
探讨   v
一   m
以   p
创新   vi
精神   n
改革   vn
教学方法   nz
教学   vn
过程   n
中   f
运用   v
心理学   n
知识   n
培养   v
学生   nnt
良好   a
的   ude1
心理素质   nz
和   cc
有利于   v
创新   vi
的   ude1
心理品质   nz
《   w
中共中央国务院   nt
关于   p
深化   v
教育改革   v
全面   ad
推进   vi
素质教育   nz
的   ude1
决定   v
》   w
指出   v
要   v
积极   ad
实行   v
启发式   nz
和   cc
讨论式   l
教学   vn
激发   v
学生   nnt
独立   a
思考   vn
和   cc
创新   vi
的   ude1
意识   n
切实   ad
提高   v
教学质量   n
要   v
让   v
学生   nnt
感受   v
理解   v
知识   n
产生   v
和   cc
发展   vn
的   ude1
过程   n
培养   v
学生   nnt
的   ude1
科学   n
精神   n
和   cc
思维   n
创新   vi
习惯   n
重视   v
培养   v
学生   nnt
收集   v
处理   vn
信息   n
的   ude1
能力   n
获取   v
新   a
知识   n
的   ude1
能力   n
分析   vn
和   cc
解决问题   v
的   ude1
能力   n
语言文字   nz
表达能力   n
及   cc
团结   v
协作   vn
和   cc
社会活动   n
的   ude1
能力   n
因此   c
在   p
教学   vn
过程   n
中   f
要   v
改革   vn
教学方法   nz
将   d
创新   vi
意识   n
创新能力   nz
的   ude1
培养   v
寓于   v
整个   b
教学   vn
过程   n
之中   f
在   p
学习   v
掌握   v
前人   n
优秀   a
文化   n
成果   n
的   ude1
过程   n
中   f
能够   v
掌握   v
最   d
基本   a
的   ude1
方法   n
和   cc
技能   n
学会   v
学习   v
同时   c
培养   v
学生   nnt
崇尚   v
真理   n
追求进步   l
的   ude1
品质   n
要   v
保护   vn
和   cc
激发   v
学生   nnt
的   ude1
好奇心   n
求知欲   n
和   cc
想象力   n
培养   v
学生   nnt
探索   v
创新   vi
的   ude1
能力   n
开发   vn
学生   nnt
的   ude1
潜能   n
一个   mq
人   n
如果   c
只   d
知道   v
死记硬背   vl
很   d
会   v
应付   v
考试   vn
把   pba
学习   v
创造   v
当成   v
深重   a
的   ude1
负担   n
而   cc
不   d
知道   v
科学   n
探索   v
中的   v
乐趣   n
是   vshi
绝对   d
做   v
不出   v
什么   ry
成绩   n
的   ude1
1   m
培养   v
学生   nnt
的   ude1
思维能力   nz
有关   vn
创造   v
过程   n
机制   n
的   ude1
研究   vn
表明   v
创造   v
的   ude1
关键   n
是   vshi
思维   n
创造性   n
思维   n
是   vshi
聚合   vi
思维   n
和   cc
发散   vn
思维   n
的   ude1
统一   vn
发散   vn
思维   n
是   vshi
沿着   p
不同   a
的   ude1
方向   n
去   vf
思考   vn
追求   v
多样性   n
的   ude1
思维   n
聚合   vi
思维   n
是   vshi
把   pba
问题   n
所   usuo
提供   v
的   ude1
各种   rz
信息   n
聚合起来   l
得出   v
一个   mq
正确   a
答案   n
教学   vn
中   f
要   v
培养   v
学生   nnt
分析   vn
综合   vn
判断   v
推理   vn
的   ude1
能力   n
但是   c
创造   v
思维   n
不仅   c
是   vshi
靠   v
逻辑   n
推断   v
发现   v
的   ude1
创造   v
思维   n
的   ude1
是   vshi
形象思维   n
和   cc
抽象   a
思维   n
的   ude1
统一   vn
时常   d
表现   v
为   p
直觉   n
思维   n
就是   v
在   p
头脑   n
中   f
突然   ad
出现   v
的   ude1
直接   ad
顿悟   vi
因此   c
教学   vn
过程   n
中   f
要   v
让   v
学生   nnt
多   a
动手   vi
多   a
参与   v
多   a
操作   vn
在   p
认识   v
的   ude1
基础上   nz
探索   v
规律   n
；   w
应   v
鼓励   v
学生   nnt
一   m
题   n
多   a
解   v
一   m
问   v
多   a
答   v
摆脱   v
传统观念   nz
和   cc
思维   n
定势   n
的   ude1
束缚   vn
勇于   v
异想天开   vl
标新立异   vl
；   w
开展   v
丰富   a
的   ude1
第二课堂   nz
活动   vn
社会   n
实践   vn
活动   vn
组织   n
学生   nnt
开展   v
科技   n
活动   vn
手工   n
制作   v
使   v
学生   nnt
在   p
各种   rz
活动   vn
中   f
培养   v
和   cc
锻炼   vn
自己   rr
的   ude1
创新   vi
意识   n
和   cc
创新能力   nz
2   m
发展   vn
学生   nnt
的   ude1
想象力   n
想象力   n
是   vshi
在   p
感知   v
记忆   n
的   ude1
基础上   nz
对   p
已有   v
的   ude1
知识   n
经验   n
进行   vn
重新组合   j
创造   v
出新   v
形象   n
的   ude1
能力   n
借助   v
想象力   n
对   p
类似   a
事物   n
进行   vn
推断   v
可以   v
帮助人   n
认识   v
事物   n
发展   vn
创造力   n
爱因斯坦   nrf
说   v
过   uguo
想象力   n
比   p
知识   n
更   d
重要   a
因为   c
知识   n
是   vshi
有限   a
的   ude1
而   cc
想象力   n
概括   v
着   uzhe
世界   n
上   f
的   ude1
一切   rz
并且   c
是   vshi
一切   rz
知识   n
的   ude1
源泉   n
作为   p
教师   nnt
对   p
学生   nnt
的   ude1
异想天开   vl
不能   v
泼冷水   vi
而   cc
应多   nr
鼓励   v
赞扬   v
引导   v
他   rr
敢于   v
想   v
他人   rr
之   uzhi
未   d
想   v
做   v
他人   rr
之   uzhi
未   d
做   v
这样   rzv
他们   rr
的   ude1
创新   vi
欲望   n
就   d
会   v
被   pbei
激发起来   l
青少年儿童   l
的   ude1
想象力   n
往往   d
是   vshi
面广   nz
而   cc
不   d
深入   ad
情节   n
简单   a
而   cc
不   d
稳定   an
夸张性   n
大   a
而   cc
创造性   n
不强   v
因此   c
需要   v
加以   vx
正确地   nz
引导   v
和   cc
培养   v
创设   v
激发   v
想象力   n
的   ude1
氛围   n
给   p
学生   nnt
提供   v
自由   a
创造   v
的   ude1
机会   n
丰富   a
学生   nnt
的   ude1
生活   vn
提供   v
感性   n
材料   n
等等   udeng
都   d
利于   v
想象力   n
的   ude1
发挥   v
3   m
帮助   v
学生   nnt
形成   v
正确   a
的   ude1
自我意识   l
自我意识   l
是   vshi
个   q
人   n
对   p
自己   rr
的   ude1
自觉   a
因素   n
即   v
人们   n
依据   n
自己   rr
所处   nz
的   ude1
社会   n
环境   n
的   ude1
发展   vn
而   cc
形成   v
的   ude1
有关   vn
自己   rr
的   ude1
情感   n
和   cc
态度   n
正确   a
的   ude1
自我意识   l
是   vshi
人们   n
依据   n
周围环境   nz
的   ude1
发展   vn
而   cc
形成   v
的   ude1
有关   vn
自己   rr
的   ude1
正确认识   nz
以及   cc
积极   ad
的   ude1
情感   n
和   cc
态度   n
正确   a
的   ude1
自我意识   l
对   p
青少年   n
创新   vi
意识   n
的   ude1
培养   v
具有   v
良好   a
的   ude1
促进作用   nz
青少年   n
的   ude1
自信心   n
与   cc
他们   rr
对   p
自己   rr
的   ude1
认识   v
和   cc
评价   vn
密切相关   v
正确   a
的   ude1
自我意识   l
能够   v
增强   v
自信心   n
如果   c
一个   mq
人   n
形成   v
了   ule
正确   a
的   ude1
自我意识   l
那么   c
他   rr
必然   d
是   vshi
充满   v
自信   a
的   ude1
；   w
如果   c
一个   mq
人   n
对   p
自己   rr
的   ude1
看法   n
比较   d
消极   a
这个   rz
人   n
必然   d
是   vshi
自卑   a
的   ude1
要   v
有   vyou
正确   a
的   ude1
自我意识   l
才能   n
充满信心   nz
地   ude2
进行   vn
创造   v
发挥   v
巨大   a
的   ude1
创造   v
潜力   n
教师应   n
充分发挥   nz
在   p
教育   vn
中的   v
主导作用   nz
帮助   v
学生   nnt
形成   v
正确   a
的   ude1
自我意识   l
要   v
创造   v
民主   a
的   ude1
教学   vn
气氛   n
使   v
学生   nnt
充分   ad
自由   a
地   ude2
发表   v
自己   rr
的   ude1
见解   n
既要   b
对   p
全体学生   n
提出   v
统一   vn
的   ude1
要求   n
又   d
要   v
照顾   v
每   rz
一个   mq
学生   nnt
的   ude1
特点   n
根据   p
学生   nnt
的   ude1
不同   a
发展   vn
水平   n
提出   v
不同   a
的   ude1
要求   n
民主   a
的   ude1
教学   vn
气氛   n
能   v
唤起   v
学生   nnt
的   ude1
主体   n
意识   n
使   v
学生   nnt
视   vg
自己   rr
为   p
集体   n
的   ude1
一   m
员   ng
有   vyou
一   m
种   q
主人翁   n
的   ude1
自豪感   n
这样   rzv
就   d
能   v
有效地   nz
预防   v
心理   n
不   d
健康   a
和   cc
性格   n
冷漠   a
孤僻   a
有助于   v
学生   nnt
形成   v
正确   a
的   ude1
自我意识   l
4   m
培养   v
学生   nnt
健全   v
完整   a
的   ude1
人格   n
人格   n
是   vshi
指   v
人   n
的   ude1
整体   n
精神面貌   nz
人格   n
完整   a
指   v
人格   n
构成   v
诸   rz
要素   n
气质   n
能力   n
性格   n
和   cc
理想信念   nz
人生观   n
等   udeng
方面   n
平衡   a
发展   vn
人格健全   nz
的   ude1
学生   nnt
所思   n
所   usuo
做   v
所言   c
协调一致   i
具有   v
积极进取   l
的   ude1
人生观   n
并   cc
以此   d
为   p
中心   nis
把   pba
自己   rr
的   ude1
需要   v
愿望   n
目标   n
和   cc
行为   n
统一   vn
起来   vf
爱因斯坦   nrf
说   v
过   uguo
一个   mq
人   n
智力   n
上   f
的   ude1
成就   n
很大   d
程度   n
上   f
取决于   v
人格   n
的   ude1
伟大   a
这   rzv
一点   m
往往   d
超出   v
人们   n
通常   d
的   ude1
认识   v
一   m
位   q
白发苍苍   vl
的   ude1
诺贝尔奖   nnd
获得者   n
曾   d
说   v
过   uguo
他   rr
是   vshi
在   p
幼儿园   nis
学到   v
了   ule
他   rr
认为   v
最主要   nz
的   ude1
东西   n
那   rzv
就是   v
把   pba
