赵鹏   nr
作为   p
主办方   nz
之一   rz
我们   rr
非常   d
欢迎   v
大家   rr
来到   v
我们   rr
这次   r
圆桌会议   n
的   ude1
现场   s
关于   p
这   rzv
件   q
事情   n
从   p
《   w
绝对   d
挑战   vn
》   w
和   cc
智联   nz
招聘   vn
我们   rr
共同   d
来   vf
通过   p
大众传媒   nz
的   ude1
方式   n
做   v
了   ule
一个   mq
话题   n
式   k
的   ude1
活动   vn
即   v
将来   t
做   v
这样   rzv
一   m
件   q
事情   n
实际上   d
是   vshi
希望   v
能够   v
在   p
整个   b
白领   b
人才   n
价值   n
这样   rzv
的   ude1
话题   n
范围内   nz
有   vyou
一些   m
启发性   n
的   ude1
作用   n
从   p
我们   rr
的   ude1
角度   n
来看   u
借   v
这个   rz
机会   n
跟   p
大家   rr
分享   v
几   d
个   q
观点   n
性   ng
的   ude1
东西   n
之所以   c
在   p
有关   vn
白领   b
人才   n
的   ude1
价值   n
我   rr
今天   t
主要   b
想   v
说   v
的   ude1
是   vshi
对于   p
我们   rr
国家   n
白领   b
人才   n
价值   n
变化   vn
的   ude1
几   d
个   q
特点   n
和   cc
趋势   n
我   rr
的   ude1
看法   n
之所以   c
有   vyou
基础   n
谈   v
这个   rz
因为   c
在   p
座   q
有   vyou
很多   m
是   vshi
做   v
HR   nx
的   ude1
业内   n
专家   nnt
和   cc
人士   n
我们   rr
始终   d
是   vshi
定位   vn
在   p
白领   b
人群   n
身上   s
的   ude1
实际上   d
《   w
绝对   d
挑战   vn
》   w
的   ude1
选手   n
求职者   n
和   cc
观众   n
很大   d
程度   n
上   f
也   d
是   vshi
在   p
城市   n
的   ude1
白领   b
人群   n
中   f
以及   cc
密切相关   v
的   ude1
人群   n
基于   p
这样   rzv
的   ude1
一个   mq
基础   n
我们   rr
两   m
年   qt
多   a
以来   f
一直   d
跟   p
在座   vi
的   ude1
有关   vn
机构   n
专家   nnt
进行   vn
切磋   v
共同   d
关注   v
这批   r
人群   n
的   ude1
特点   n
和   cc
成长   vi
因此   c
在   p
这个   rz
基础上   nz
有   vyou
一些   m
观点   n
我   rr
想   v
和   cc
大家   rr
分享   v
一下   m
第   mq
一个   mq
观点   n
白领   b
人才   n
的   ude1
价值   n
这   rzv
件   q
事情   n
本身   rz
是   vshi
这么   rz
多年   mq
一直   d
持续   vd
处在   v
一个   mq
提升   v
的   ude1
过程   n
当中   f
我   rr
看   v
了   ule
一些   m
资料   n
严格   ad
来讲   uls
中国   ns
原来   d
没有   v
白领   b
这个   rz
概念   n
在   p
计划经济   n
体制   n
下   f
作为   p
一个   mq
社会   n
现象   n
的   ude1
阶层   n
严格来说   l
是   vshi
在   p
92   m
年   qt
以后   f
中国   ns
经济   n
高速   b
增长   v
发展   vn
的   ude1
结果   n
之一   rz
在   p
这样   rzv
的   ude1
背景   n
下   f
企业   n
越来越   d
成为   v
社会   n
活跃   a
的   ude1
因素   n
那么   c
白领   b
的   ude1
质量   n
和   cc
数量   n
以及   cc
稳定   an
程度   n
相对   d
发生   v
了   ule
一个   mq
变化   vn
这   rzv
是   vshi
十几   mq
年   qt
来   vf
的   ude1
一个   mq
事情   n
在   p
这个   rz
过程   n
的   ude1
同时   c
也   d
是   vshi
伴随   v
着   uzhe
整个   b
人群   n
社会   n
价值   n
的   ude1
被   pbei
认同度   n
上   f
和   cc
他们   rr
对   p
企业   n
的   ude1
贡献度   n
上   f
处在   v
一个   mq
提升   v
的   ude1
过程   n
中   f
我   rr
觉得   v
这样   rzv
一个   mq
判断   v
应该   v
是   vshi
成立   vi
的   ude1
第二   mq
个   q
和   cc
大家   rr
分享   v
的   ude1
判断   v
实际上   d
白领   b
人才   n
这个   rz
词   n
我   rr
倒   vi
觉得   v
是   vshi
很   d
有意思   al
的   ude1
是   vshi
很   d
有   vyou
时代特点   n
而且   c
是   vshi
加上   v
中国   ns
思路   n
的   ude1
二合一   nz
的   ude1
东西   n
还是   c
挺   d
有意思   al
的   ude1
值得   v
研究   vn
的   ude1
概念   n
首先   d
人才   n
这个   rz
词   n
是   vshi
有   vyou
中国   ns
特色   n
的   ude1
概念   n
今天   t
人事部   nis
的   ude1
魏   tg
老师   nnt
也   d
过来   vf
了   ule
我们   rr
以前   f
做   v
研究   vn
的   ude1
时候   n
我们   rr
发现   v
人力资源   nz
开发   vn
和   cc
人才资源   nz
开发   vn
这个   rz
探讨   v
好像   v
只有   c
中国   ns
才有   nr
也   d
可能   v
是   vshi
我   rr
孤陋寡闻   vl
而且   c
我   rr
还   d
看   v
了   ule
有   vyou
一个   mq
人   n
写   v
了   ule
一   m
篇文章   n
作为   p
某   rz
一   m
本   rz
人力资源   nz
书   n
的   ude1
序   n
当时   t
我   rr
还   d
觉得   v
挺   d
诧异   a
的   ude1
因为   c
我们   rr
国家   n
会   v
出来   vf
人才   n
和   cc
非   b
人才   n
的   ude1
区分   v
在   p
我   rr
的   ude1
理解   v
中   f
这   rzv
是   vshi
很   d
有   vyou
特点   n
的   ude1
一个   mq
事儿   n
用   p
中国   ns
思路   n
的   ude1
判断   v
白领   b
是   vshi
一个   mq
很   d
有   vyou
时代特点   n
的   ude1
概念   n
把   pba
他们   rr
两   m
个   q
人   n
结合   v
起来   vf
有   vyou
这么   rz
一个   mq
白领   b
人才   n
的   ude1
事情   n
因为   c
它   rr
是   vshi
在   p
这样   rzv
一个   mq
土壤   n
上   f
和   cc
这样   rzv
一个   mq
时代   n
中   f
产生   v
出来   vf
的   ude1
有   vyou
空间   n
和   cc
时间   n
纬度   n
下   f
的   ude1
东西   n
我   rr
觉得   v
从   p
研究   vn
角度   n
还是   c
一个   mq
比较   d
有意思   al
的   ude1
概念   n
这   rzv
是   vshi
我   rr
的   ude1
想法   n
我   rr
和   cc
大家   rr
分享   v
的   ude1
第   mq
三   m
个   q
观点   n
我   rr
认为   v
白领   b
人才   n
价值   n
这个   rz
观念   n
本身   rz
是   vshi
一个   mq
很   d
有   vyou
公益   n
色彩   n
的   ude1
话题   n
实际上   d
在座   vi
的   ude1
不管   c
是   vshi
专家   nnt
还是   c
企业   n
做   v
人力资源   nz
的   ude1
或者   c
是   vshi
做   v
传播   vn
的   ude1
白领   b
人才   n
这个   rz
文章   n
很多   m
人   n
都   d
在   p
做   v
而且   c
做   v
了   ule
很多   m
年   qt
了   ule
我   rr
个人   n
觉得   v
每   rz
一个   mq
人力资源   nz
中介机构   nz
和   cc
产品   n
网站   n
是   vshi
在   p
卖什么   nz
根本   a
上   f
是   vshi
在   p
卖   v
人   n
我   rr
是   vshi
这么   rz
看   v
的   ude1
从   p
传播   vn
的   ude1
角度   n
《   w
绝对   d
挑战   vn
》   w
的   ude1
三   m
位   q
领导   n
都   d
在   p
这儿   rzs
他们   rr
的   ude1
选手   n
和   cc
观众   n
和   cc
白领   b
人群   n
是   vshi
有   vyou
密切   ad
结合   v
的   ude1
这   rzv
就   d
意味着   v
节目   n
的   ude1
质量   n
和   cc
影响力   n
还   d
举   v
一个   mq
别   d
的   ude1
例子   n
像   v
我   rr
比较   d
爱看   v
《   w
中国   ns
国家   n
地理杂志   n
》   w
我   rr
觉得   v
这   rzv
是   vshi
给   p
白领   b
和   cc
白领   b
以上   f
人士   n
提供   v
一   m
种   q
高层次   n
的   ude1
有   vyou
特点   n
的   ude1
人文   n
关怀   vn
实际上   d
大家   rr
都   d
在   p
做   v
这个   rz
文章   n
蛮   d
多   a
人   n
认为   v
我们   rr
国家   n
白领   b
人才   n
已经   d
成为   v
推动   v
社会   n
经济发展   v
的   ude1
新的   a
力量   n
这批   r
人   n
的   ude1
作用   n
是   vshi
越来越   d
大   a
了   ule
对   p
政府   nis
来说   uls
研究   vn
这批   r
人   n
可能   v
是   vshi
有价值   nz
的   ude1
对于   p
盈利   vn
机构   n
来讲   uls
研究   vn
这   rzv
帮   v
人   n
就   d
意味着   v
研究   vn
市场   n
的   ude1
定位   vn
但是   c
我   rr
觉得   v
除了   p
我们   rr
要   v
研究   vn
怎么   ryv
把   pba
他们   rr
更好   d
地   ude2
卖出去   v
以及   cc
怎么   ryv
更好   d
地   ude2
卖   v
一些   m
东西   n
给   p
他们   rr
之外   f
还   d
应该   v
给   p
这样   rzv
一   m
批   q
人   n
以   p
更多   ad
的   ude1
人文   n
关怀   vn
因为   c
说实话   vl
我们   rr
现在   t
也   d
是   vshi
列   v
在   p
所谓   v
的   ude1
白领   b
人群   n
当中   f
所谓   v
如   v
鱼   n
在   p
水   n
冷暖自知   nz
这种   r
压力   n
这种   r
很多   m
带有   v
人文   n
色彩   n
的   ude1
关系   n
是   vshi
值得   v
这个   rz
社会   n
关注   v
也   d
是   vshi
值得   v
我们   rr
把   pba
他们   rr
卖出去   v
以及   cc
把   pba
东西   n
卖给   v
他们   rr
之外   f
再   d
做   v
点   qt
别的   rzv
事情   n
所以   c
我   rr
的   ude1
第   mq
三   m
个   q
观点   n
白领   b
人才   n
价值   n
目前   t
是   vshi
一个   mq
公益性   n
的   ude1
话题   n
我   rr
想   v
跟   p
大家   rr
分享   v
的   ude1
第   mq
四   m
个   q
想法   n
是   vshi
我   rr
觉得   v
我们   rr
国家   n
白领   b
人才   n
价值   n
的   ude1
话题   n
研究   vn
从   p
现在   t
来看   u
是   vshi
不够   a
的   ude1
首先   d
人力资源   nz
是   vshi
建立   v
在   p
西方   ns
HR   nx
的   ude1
一系列   b
的   ude1
事情   n
实际上   d
在   p
研究   vn
白领   b
人才   n
价值   n
方面   n
有   vyou
很多   m
包括   v
智联   nz
招聘   vn
今天   t
请到   v
了   ule
我们   rr
猎头   nz
总监   nnt
海伦   nrf
他们   rr
对   p
这些   rz
问题   n
有   vyou
很多   m
自己   rr
的   ude1
实际   n
看法   n
和   cc
自己   rr
看法   n
的   ude1
待会儿   d
我们   rr
会   v
听   v
专家   nnt
的   ude1
意见   n
但是   c
我   rr
觉得   v
更大   d
一点   m
是   vshi
尺度   n
比较   d
大   a
地   ude2
看   v
这个   rz
话题   n
关于   p
白领   b
人才   n
价值   n
的   ude1
研究   vn
是   vshi
不够   a
深入   ad
的   ude1
简单   a
地   ude2
讲   v
一个   mq
国家   n
GDP   nx
增长   v
的   ude1
速度   n
比例   n
和   cc
这个   rz
国家   n
的   ude1
企业   n
职员   nnt
先   d
不说   c
高端   nz
职员   nnt
薪酬   n
增加   v
的   ude1
关系   n
是   vshi
有   vyou
一个   mq
切入点   n
我   rr
这里   rzs
恰好   d
有   vyou
一些   m
数字   n
和   cc
观点   n
中国   ns
在   p
2004   m
年   qt
和   cc
2005   m
年   qt
根据   p
国家统计局   nto
报   n
的   ude1
数字   n
后来   t
好象   d
还   d
被   pbei
人   n
说   v
有   vyou
问题   n
我们   rr
看   v
统计数字   nz
吧   y
中国   ns
的   ude1
GDP   nx
增长   v
在   p
全球排名   nz
第二   mq
仅次于   v
美国   nsf
我们   rr
国家   n
的   ude1
平均工资   nz
水平   n
增长率   n
排名   vi
要   v
远远   d
低于   v
刚才   t
说   v
的   ude1
那个   rz
排名   vi
第二   mq
是   vshi
一个   mq
很低   d
的   ude1
低水平   nz
的   ude1
数字   n
当然   d
这个   rz
问题   n
很   d
复杂   a
人家   n
可以   v
说   v
人均   a
GDP   nx
或者   c
怎么样   ryv
但   c
至少   d
我们   rr
这样   rzv
来看   u
问题   n
从   p
政治   n
上   f
讲   v
吧   y
我   rr
看过   v
一些   m
话   n
比如   v
改革   vn
和   cc
发展   vn
成果   n
的   ude1
分享   v
问题   n
也许   d
有   vyou
这样   rzv
一个   mq
问题   n
那么   c
从   p
经济   n
上   f
来看   u
企业   n
发展   vn
了   ule
像   v
今年   t
我   rr
看到   v
的   ude1
一个   mq
数字   n
美国   nsf
的   ude1
同行   n
今年   t
大家   rr
拿到   v
的   ude1
红包   n
好象   d
