不高不低   i
的   ude1
收入   n
上下   f
徘徊   vi
的   ude1
欲望   n
几位   n
买家   n
讲述   v
他们   rr
买房   v
的   ude1
心路历程   nz
房价   n
快   a
涨   vi
的   ude1
时候   n
总   b
有   vyou
声音   n
教导   vn
买房   v
的   ude1
人   n
要   v
量力而行   vl
现在   t
收入   n
低   a
的   ude1
人   n
似乎   d
已经   d
不   d
惦记着   v
买房   v
的   ude1
事情   n
因为   c
太   d
遥远   a
了   ule
想   v
了   ule
也   d
白想   nr
收入   n
高   a
的   ude1
人   n
对   p
房价   n
也   d
是   vshi
想也不想   l
因为   c
每平方米   nz
即使   c
贵   a
个   q
千儿八百   mq
他们   rr
或许   d
都   d
能   v
扛   v
得   ude3
起   vf
苦   a
了   ule
的   ude1
就是   v
中间   f
这批   r
收入   n
高不成低不就   vl
的   ude1
人   n
职业   n
相对   d
体面   a
收入   n
还   d
不错   a
因此   c
不   d
原   b
忘却   v
得   ude3
惦念着   v
买房   v
而   cc
房价   n
却   d
总   b
让   v
他们   rr
伤心   a
那是多   nr
一   m
分   qt
就   d
能   v
压垮   v
少   a
一   m
分   qt
才   d
只能   v
喘   v
口气   n
涨   vi
啊   y
涨   vi
一手   d
买   v
不了   v
就   d
退居   nz
其次   c
选   v
二手房   n
可   v
买   v
二手房   n
也   d
是   vshi
这么   rz
折磨   vn
人   n
不是   c
快   a
到手   vi
的   ude1
房子   n
被   pbei
抢走   v
就是   v
卖方   nnd
再   d
抬价   vi
五一   m
黄金周   nr
本报记者   nz
跟着   v
几位   n
买家   n
记述   v
他们   rr
买房   v
的   ude1
经过   p
和   cc
心路历程   nz
听到   v
一个   mq
共同   d
的   ude1
回音   n
我们   rr
放弃   v
了   ule
更高   d
的   ude1
欲望   n
和   cc
居住   v
质量   n
我们   rr
有   vyou
体面   a
的   ude1
职业   n
但   c
想不到   vl
买   v
二手房   n
也   d
这么   rz
难   a
案例   n
1   m
放弃   v
三   m
房   n
硬指标   n
控制   vn
总价   n
买   v
两房   nz
人物   n
孙小姐   nz
职业   n
公务员   nnt
在   p
经历   n
了   ule
半   mq
年   qt
的   ude1
踩盘   nz
生涯   n
后   f
孙小姐   nz
依然   d
没有   v
找到   v
心仪   v
的   ude1
安身   vi
之   uzhi
所   usuo
而   cc
她   rr
的   ude1
婚期   n
却   d
越来越   d
近   a
孙小姐   nz
和   cc
男友   n
计划   n
今年   t
下半年   t
结婚   vi
为此   bl
今年春节   nz
一过   c
孙小姐   nz
和   cc
男友   n
就   d
开始   v
看楼   nz
男朋友   n
的   ude1
家人   n
大概   d
能   v
拿出   v
30   m
万   m
左右   f
作为   p
首付   nz
和   cc
装修   vn
剩下   v
的   ude1
两   m
个   q
人   n
计划   n
按揭   vn
我们   rr
测算   v
过   uguo
一个   mq
月   n
偿还   v
3000   m
元   q
左右   f
不成问题   l
这样   rzv
的   ude1
条件   n
让   v
孙小姐   nz
觉得   v
在   p
靠近   v
市中心   s
的   ude1
地方   n
买   v
一   m
套   q
三居室   n
不成问题   l
但   c
孙小姐   nz
抱怨   v
道   qv
一些   m
稍   d
新的   a
小区   n
房型   nz
朝向   v
较好   d
的   ude1
均价   nz
也   d
在   p
8000   m
元   q
/   w
平方米   q
以上   f
甚至   d
达到   v
9000   m
元   q
/   w
平方米   q
这样   rzv
的   ude1
三居室   n
总价   n
要   v
达到   v
90   m
万元以上   l
以   p
这样   rzv
的   ude1
价格   n
买   v
别人   rr
住   vi
过   uguo
的   ude1
二手房   n
实在   d
不值   n
孙小姐   nz
只能   v
打消   v
在   p
上述   b
区域   n
置业   n
的   ude1
想法   n
但   c
三居室   n
的   ude1
标准   n
不能   v
放宽   v
否则   c
以后   f
有   vyou
了   ule
孩子   n
双方   n
父母   n
来   vf
了   ule
没   d
地方   n
住   vi
五一   m
黄金周   nr
他们   rr
又   d
把   pba
目标   n
放在   v
了   ule
白云区   ns
65   m
万   m
可以   v
买   v
一   m
套   q
南北   f
对流   vn
的   ude1
三居室   n
还   d
能   v
望见   v
白云山   nz
价格   n
和   cc
房子   n
本身   rz
没什么   vl
值得   v
挑剔   v
但   c
这里   rzs
到   v
两   m
人   n
上班   vi
的   ude1
地点   n
没有   v
直达   v
公交车   nz
地铁   n
还要   d
两三   m
年   qt
才   d
开通   v
如果   c
买车   nz
油费   n
停车费   n
都   d
不能   v
少   a
小区   n
一个   mq
车位   n
要   v
12   m
万   m
元   q
月租   nz
400   m
元   q
算下来   l
与   cc
城内   s
房子   n
区别   n
也   d
不大   d
他们   rr
又   d
放弃   v
了   ule
如今   t
他们   rr
只能   v
打算   v
放弃   v
三居室   n
的   ude1
硬   a
杠杠   n
先   d
在   p
相对   d
中心   nis
的   ude1
地方   n
买   v
一   m
套   q
两居室   n
这样   rzv
能够   v
控制   vn
住   vi
总价   n
几   d
年   qt
后   f
再考虑   nz
换房   v
而   cc
前提   n
是   vshi
房价   n
不要   d
再   d
疯涨   a
下去   vf
案例   n
2   m
老区   n
苦   a
寻   v
二手房   n
遇到   v
好   a
房快   nr
出手   vi
人物   n
刘先生   nr
职业   n
服务业   n
在   p
经历   n
了   ule
将近   d
十   m
年   qt
的   ude1
租房   v
生涯   n
后   f
刘先生   nr
认为   v
自己   rr
现在   t
有   vyou
必要   a
住   vi
上   f
属于自己   v
的   ude1
房子   n
从   p
今年   t
4月   t
开始   v
他   rr
就   d
开   v
着   uzhe
向   p
朋友   n
借来   v
的   ude1
小车   n
来往   vi
于   p
各个   rz
楼盘   n
之间   f
他   rr
很   d
想   v
在   p
越秀区   ns
买套   nz
70   m
-   nx
90   m
平方米   q
价钱   n
40   m
万   m
以下   f
的   ude1
两房一厅   n
或   c
小三房   nz
单位   n
可   v
一个   mq
月   n
下来   vf
他   rr
才   d
明白   v
房子   n
这个   rz
世界   n
变化   vn
得   ude3
这么   rz
快   a
房价   n
已是   d
今非昔比   vl
5月   t
1   m
日   b
刘先生   nr
在   p
东山区   ns
一中   j
介   vg
处   n
找到   v
了   ule
一   m
套   q
面积   n
75   m
平方米   q
得   ude3
二手房   n
虽然   c
位置   n
在   p
东风   n
东路   n
边   k
噪声   n
较大   d
又是   c
最   d
顶层   f
单位   n
但   c
标价   n
只有   c
32   m
万   m
元   q
还有   v
装修   vn
和   cc
家具   n
本来   d
与   cc
中介   n
约   d
好   a
一个   mq
星期   n
后   f
交   v
买楼   nz
款   q
正式   ad
办理   v
过户   vn
手续   n
谁知   v
当天   t
晚上   t
他   rr
接到   v
中介公司   nis
电话   n
说   v
房主   n
觉得   v
房价   n
太低   nz
要   v
提价   vi
8   m
万   m
才   d
肯   v
卖   v
8   m
万   m
可不是   c
小数目   n
刘先生   nr
选择   v
放弃   v
从   p
去年   t
年底   f
到   v
今年   t
五一   m
黄金周   nr
何先生   nz
一直   d
在   p
关注   v
广州   ns
房地产   n
的   ude1
二手市场   nz
他   rr
告诉   v
记者   nnt
价格   n
是   vshi
自己   rr
放弃   v
一手房   nz
选择   v
二手房   n
最   d
关键   n
最   d
直接   ad
的   ude1
原因   n
何先生   nz
2003   m
年   qt
来到   v
广州   ns
从事   vi
了   ule
一   m
份   q
让   v
周围   f
朋友   n
羡慕   v
的   ude1
职业   n
当时   t
也   d
想   v
过   uguo
买房   v
但   c
由于   p
女朋友   n
还   d
在   p
读书   vi
未来   t
在   p
哪个   ry
城市   n
发展   vn
尚不   d
确定   v
所以   c
就   d
没   d
实际行动   nz
而   cc
2003   m
年   qt
的   ude1
房价   n
是   vshi
他   rr
与   cc
购房   vn
梦想   n
距离   n
比较   d
近   a
的   ude1
时候   n
他   rr
没想到   nz
的   ude1
是   vshi
三   m
年   qt
后   f
的   ude1
今天   t
他   rr
的   ude1
购房   vn
梦   n
已   d
渐行   nz
渐   d
远   a
房价   n
的   ude1
高涨   a
远远   d
超出   v
了   ule
他   rr
的   ude1
预期   vn
三   m
年前   t
他   rr
看过   v
华景   nr
新城   ns
当时   t
的   ude1
均价   nz
才   d
4000   m
多元   b
每平方米   nz
而今   t
年   qt
已   d
涨到   v
7000   m
多元   b
每平方米   nz
这   rzv
比   p
他   rr
的   ude1
收入   n
涨   vi
得   ude3
快   a
多   a
了   ule
其实   d
在   p
这场   r
房价   n
与   cc
收入   n
的   ude1
赛跑   vi
中   f
大部分   n
年轻人   n
都   d
被   pbei
无情地   i
抛   v
在   p
了   ule
后面   f
其中   rz
很多   m
人   n
都   d
与   cc
何先生   nz
相似   a
有着   v
一   m
份   q
相当   d
不错   a
的   ude1
职业   n
和   cc
一   m
份   q
中等偏上   l
的   ude1
收入   n
但   c
这   rzv
也   d
不能   v
成全   v
他   rr
在   p
广州   ns
这个   rz
城市   n
有   vyou
属于自己   v
的   ude1
一   m
份   q
房产   n
何先生   nz
给   p
记者   nnt
算了   v
一   m
笔   n
账   n
一   m
套   q
面积   n
在   p
80   m
到   v
100   m
平米   q
的   ude1
三   m
房   n
即使   c
便宜   a
点   qt
的   ude1
也   d
要   v
70   m
万   m
元   q
左右   f
而且   c
20   m
多   a
万元   q
的   ude1
首付款   nz
已   d
让   v
他   rr
感受到   nz
一   m
份   q
房产   n
的   ude1
沉重   a
如果   c
贷款   n
50   m
万   m
他   rr
得   ude3
连续   a
20   m
年   qt
月月   n
交出   v
4000   m
元   q
还贷   vn
而   cc
这   rzv
已经   d
占据   v
他   rr
收入   n
的   ude1
大   a
半   mq
部分   n
何先生   nz
认为   v
他   rr
的   ude1
工作   vn
压力   n
大   a
收入   n
并不   d
稳定   an
再   d
把   pba
身体健康   nz
和   cc
未来   t
子女教育   nz
等   udeng
问题   n
考虑   v
进去   vf
高额   b
还贷   vn
压力   n
对   p
他   rr
来说   uls
是   vshi
不   d
现实   n
的   ude1
今年   t
上半年   t
他   rr
改变   v
自己   rr
的   ude1
选择   v
想   v
从   p
二手房   n
里   f
淘   v
到   v
价格   n
合适   a
的   ude1
房子   n
但   c
从   p
今年初   t
到   v
现在   t
何先生   nz
已经   d
找   v
过   uguo
十   m
多   a
家   q
房产   n
中介   n
看   v
了   ule
十几   mq
套   q
房子   n
均   d
无   v
结果   n
何先生   nz
告诉   v
记者   nnt
现在   t
卖方   nnd
业主   n
一般   ad
会   v
找   v
多   a
家   q
中介机构   nz
同时   c
代理   vn
而   cc
许多   m
中介机构   nz
都会   n
在   p
代理   vn
过程   n
中   f
抬高   v
价格   n
吃差价   nz
同一   b
处   n
楼盘   n
在   p
不同   a
中介机构   nz
中所   j
标   v
价格   n
相差   v
最高   a
的   ude1
达到   v
8   m
万   m
元   q
少   a
的   ude1
也   d
会   v
有   vyou
两三万   m
所以   c
何先生   nz
建议   n
要   v
多   a
看   v
几   d
家   q
对比   vn
选择   v
出   vf
比较   d
诚信   a
的   ude1
中介   n
另外   c
让   v
何先生   nz
苦恼   an
的   ude1
是   vshi
很多   m
放盘   nz
的   ude1
业主   n
看到   v
自己   rr
房子   n
比较   d
好   a
卖   v
的   ude1
时候   n
又   d
收手   nz
抬价   vi
了   ule
何先生   nz
节前   f
