都说   nr
人人   n
都   d
有   vyou
本   rz
难念   nz
的   ude1
经   p
作为   p
教师   nnt
我   rr
深知   v
这   rzv
一   m
职业   n
真的   d
有   vyou
许多   m
让   v
人   n
伤心   a
之事   r
但   c
实在   d
又   d
无法   v
解决   v
所以   c
只能   v
挥泪   vd
倾诉   v
希望   v
能   v
引起   v
疗   vg
救   v
者   k
的   ude1
注意   v
也   d
让   v
我们   rr
自己   rr
得到   v
一些   m
安慰   v
因为   c
憋   v
在   p
心里   s
似乎   d
更   d
难   a
受到   v
不如   v
一吐为快   vl
1   m
职称评定   nz
教师   nnt
的   ude1
痛   a
职称   n
关系到   v
教师   nnt
的   ude1
工资   n
也   d
关系到   v
教师   nnt
的   ude1
名声   n
所以   c
大多   d
看   v
的   ude1
相当   d
重   a
因为   c
看   v
的   ude1
重   a
许多   m
教师   nnt
总是   d
感到   v
痛   a
一   m
是   vshi
撕下   v
脸皮   n
之   uzhi
痛   a
本来   d
教师   nnt
的   ude1
关系   n
是   vshi
其乐融融   al
的   ude1
可是   c
每   rz
到   v
职称评定   nz
季节   n
就   d
人人   n
自卫   vn
人以群分   nz
了   ule
为   p
了   ule
几   d
分之   mq
差   a
争论   vn
的   ude1
脸红   vi
的   ude1
有   vyou
很多   m
昔日   t
温情脉脉   vl
变成   v
了   ule
冷嘲热讽   vl
老师   nnt
斯文   nrf
的   ude1
脸皮   n
撕破   v
了   ule
这种   r
痛   a
许久   mq
也   d
不能治愈   l
成功   a
二   m
是   vshi
折断   v
脊梁   n
之   uzhi
痛   a
现在   t
的   ude1
职称评定   nz
要   v
具备   v
个   q
优   ag
或   c
模范   n
于是   cc
许多   m
教师   nnt
为了   p
这个   rz
必不可少   vl
的   ude1
东西   n
折断   v
了   ule
本来   d
挺直   v
的   ude1
脊梁   n
求   v
主任   nnt
找   v
校长   nnt
跑   v
局长   nnt
好话说尽   l
笑脸   n
陪   v
光   n
关系   n
用   p
透   v
金钱   n
到位   vi
这种   r
折断   v
脊梁   n
的   ude1
疼痛   an
让   v
老师   nnt
本来   d
纯洁   a
健康   a
的   ude1
心态   n
染上   v
了   ule
污垢   n
三   m
是   vshi
划破   v
血管   n
之   uzhi
痛   a
我   rr
向来   d
把   pba
教师   nnt
的   ude1
工资   n
当作   v
教师   nnt
生命   n
的   ude1
血脉   n
但   c
在   p
职称评定   nz
面前   f
教师   nnt
不得不   d
划破   v
血管   n
了   ule
花钱买   ns
文章   n
发表   v
；   w
花钱   vi
请   v
枪手   nnd
参加   v
没用   vi
的   ude1
考试   vn
；   w
参加   v
花   n
大钱   n
形式主义   n
的   ude1
培训   vn
虽然   c
隐隐   z
做   v
痛   a
但   c
还是   c
把   pba
血   n
献给   v
了   ule
人家   n
职称评定   nz
应该   v
是   vshi
促进   v
教师   nnt
工作   vn
的   ude1
一   m
种   q
举措   n
应该   v
让   v
教师   nnt
心中   s
高兴   a
但   c
现在   t
却   d
成   v
了   ule
教师   nnt
的   ude1
痛   a
每年   t
有   vyou
那么   c
多   a
教师   nnt
承受   v
职称评定   nz
之   uzhi
痛   a
是   vshi
对   p
教师队伍   nz
团结   v
的   ude1
破坏   v
是   vshi
对   p
教师   nnt
整体素质   nz
提高   v
的   ude1
阻碍   v
更是   d
对   p
教师   nnt
心理   n
的   ude1
一   m
种   q
伤害   vn
2   m
业务培训   nz
理想   n
的   ude1
肥皂泡   n
其实   d
教师   nnt
喜欢   vi
培训   vn
因为   c
只有   c
培训   vn
才能   n
让   v
自己   rr
的   ude1
素质   n
不断更新   i
才能   n
让   v
自己   rr
的   ude1
方法   n
更   d
先进   a
才能   n
提高   v
自己   rr
的   ude1
素质   n
但是   c
现在   t
的   ude1
培训   vn
却   d
让   v
教师   nnt
只有   c
悲哀   an
比如   v
这   rzv
几   d
年   qt
国家   n
搞了个   n
骨干教师   nnt
培训   vn
大   a
计划   n
国家   n
培训   vn
省里   n
培训   vn
地县   n
培训   vn
多   a
好   a
啊   y
然而   c
我们   rr
某些   rz
人   n
却   d
把   pba
这么   rz
好   a
的   ude1
计划   n
变成   v
了   ule
小   a
行动   vn
因为   c
推荐   v
的   ude1
所谓   v
骨干教师   nnt
不   d
是   vshi
领导   n
眼中   s
的   ude1
红人   n
就是   v
很少   ad
上课   vi
的   ude1
校内   s
管理人员   nnt
一些   m
人   n
把   pba
培训   vn
当成   v
旅游观光   n
的   ude1
好   a
机会   n
当成   v
人情   n
送   v
人   n
了   ule
真正   d
激昂   a
上进   a
努力   ad
能干   a
的   ude1
骨干教师   nnt
受   v
不到   v
培训   vn
不该   v
培训   vn
的   ude1
培训   vn
了   ule
只是   d
对   p
牛谈   nr
琴   n
当然   d
更   d
谈不上   v
让   v
他们   rr
把   pba
培训   vn
的   ude1
精神   n
向   p
基层   n
一线   n
教师   nnt
传达   v
了   ule
该   rz
培训   vn
的   ude1
没有   v
培训   vn
独自   d
缓慢   a
探索   v
地方   n
教育   vn
机构   n
为了   p
响应   v
上级   n
号召   v
也   d
组织   n
了   ule
形式多样   nz
的   ude1
花架子   n
培训   vn
诸如   v
某某   r
工程   n
某某   r
计划   n
之类   rz
名词   n
不断   d
翻新   v
内容   n
只凭   nz
领导   n
想当然   vl
只要   c
有   vyou
轰动效应   nz
即可   v
至于   p
是否   v
符合实际   n
产生   v
效果   n
鬼才   nz
知道   v
反正   d
档案   n
要   v
有   vyou
材料   n
要   v
送   v
新闻   n
要   v
上   f
电视   n
要   v
播   v
费用   n
要   v
收   v
于是   cc
老师   nnt
在   p
忙碌   a
完了   vi
上课   vi
备课   vi
看作   v
业外   n
还要   d
写   v
够多   nz
少   a
篇   q
毛笔字   nz
填   v
够   v
多少   ry
张   q
听课   vi
卡   n
发   v
够多   nz
少   a
篇   q
教研   n
文记   n
够   v
多少   ry
页   q
学习   v
笔记   n
等等   udeng
上有政策   n
下有对策   l
检查   vn
前   f
的   ude1
阻击战   n
突击   vn
战间   nr
谍战   nz
等   udeng
各种   rz
战术   n
五花八门   bl
和平   n
时代   n
在   p
学校   nis
里   f
演绎   v
着   uzhe
动   v
纸笔   nz
动   v
口舌   n
的   ude1
战争   n
这   rzv
是   vshi
费神   a
的   ude1
劳   ng
当然   d
还   d
必须   d
拿出   v
财   n
不   d
扣下   v
几张   n
钞票   n
可   v
不行   a
否则   c
继续教育   nz
证   n
上   f
大   a
章   q
不   d
扣   v
评   v
模   ng
进   vf
职   ng
妄想   v
地方   n
培训   vn
教师   nnt
怎能   d
高兴   a
教师   nnt
实在   d
需要   v
培训   vn
也   d
热爱   v
培训   vn
但   c
现在   t
的   ude1
培训   vn
却   d
成   v
了   ule
教师   nnt
理想   n
的   ude1
肥皂泡   n
3   m
人事制度   nz
凝固   vi
的   ude1
心灵   n
叹息   vi
现在   t
的   ude1
学校   nis
人事制度   nz
实在   d
不能   v
让   v
人   n
恭维   vn
才华横溢   vl
者   k
永远   d
是   vshi
被管理者   n
才能   n
平庸者   n
却   d
常常   d
平步青云   vl
无能者   n
管理   vn
有   vyou
能者   n
只有   c
一   m
声   qv
叹息   vi
你   rr
才华横溢   vl
你   rr
就要   d
永远   d
在   p
教学   vn
一线   n
牛   n
一样   uyy
的   ude1
工作   vn
你   rr
不   d
干   v
谁   ry
干   v
而且   c
如果   c
真的   d
让   v
你   rr
当   p
领导   n
领导   n
的   ude1
无能   a
阴暗   a
不   d
就   d
暴露   v
了   ule
吗   y
况且   c
你   rr
也   d
不能   v
做   v
领导   n
现在   t
的   ude1
领导人   nnt
来   vf
利   n
往   p
你   rr
那种   r
靠   v
业务   n
立身   v
的   ude1
想法   n
是   vshi
让   v
人   n
耻笑   vn
的   ude1
因此   c
大部分   n
教师   nnt
在   p
走过   v
激情   n
澎湃   vi
之后   f
平静   a
了   ule
衰老   a
了   ule
成   v
了   ule
撞钟   v
的   ude1
和尚   nnt
；   w
有些   rz
则   d
清醒   a
的   ude1
走出   v
了   ule
教育   vn
去   vf
实现   v
新的   a
人生   n
辉煌   a
；   w
当然   d
也   d
有   vyou
一小   d
部分   n
凭借着   p
自己   rr
坚强   a
的   ude1
意志   n
和   cc
忍耐   v
奋斗   vi
出   vf
了   ule
个人   n
的   ude1
阳光灿烂   i
但   c
大多数   m
人   n
只是   d
在   p
叹息   vi
中   f
度过   v
了   ule
你   rr
如果   c
平庸   a
无能   a
那   rzv
有时   d
到   v
成   v
了   ule
好事   n
你   rr
上   f
不了   v
课   n
就   d
可以   v
当   p
干事   nnt
当   p
干事   nnt
经常   d
在   p
领导   n
身边   s
跑来跑去   nz
自然而然   al
认识   v
了   ule
许多   m
领导   n
学会   v
