不高不低   i
的   uj
收入   v
上下   f
徘徊   v
的   uj
欲望   v
几位   m
买家   n
讲述   v
他们   r
买房   n
的   uj
心路历程   l
房价   n
快   a
涨   v
的   uj
时候   n
总   b
有   v
声音   n
教导   n
买房   n
的   uj
人   n
要   v
量力而行   l
现在   t
收入   v
低   a
的   uj
人   n
似乎   d
已经   d
不   d
惦记着   v
买房   n
的   uj
事情   n
因为   c
太   d
遥远   a
了想   v
了   ul
也   d
白   a
想   v
收入   v
高   a
的   uj
人   n
对   p
房价   n
也   d
是   v
想也不想   l
因为   c
每平方米   l
即使   c
贵   a
个   q
千儿八百   m
他们   r
或许   d
都   d
能   v
扛   v
得   ud
起   v
苦   a
了   ul
的   uj
就是   d
中间   f
这   r
批   q
收入   v
高不成低不就   l
的   uj
人   n
职业   n
相对   d
体面   n
收入   v
还   d
不错   a
因此   c
不原   n
忘却   v
得   ud
惦念着   v
买房   n
而   c
房价   n
却   d
总让   v
他们   r
伤心   n
那   r
是   v
多一分   m
就   d
能   v
压垮   v
少   a
一分   m
才   d
只能   v
喘   v
口气   n
涨   v
啊   y
涨   v
一手   m
买   v
不了   v
就   d
退居   v
其次   r
选   zg
二手房   n
可买   v
二手房   n
也   d
是   v
这么   r
折磨   v
人   n
不是   c
快   a
到手   d
的   uj
房子   n
被   p
抢走   v
就是   d
卖方   n
再   d
抬价   v
五一   m
黄金周   nr
本报记者   n
跟着   v
几位   m
买家   n
记述   v
他们   r
买房   n
的   uj
经过   p
和   c
心路历程   l
听到   v
一个   m
共同   d
的   uj
回音   n
我们   r
放弃   v
了   ul
更   d
高   a
的   uj
欲望   v
和   c
居住   v
质量   n
我们   r
有   v
体面   n
的   uj
职业   n
但   c
想不到   l
买   v
二手房   n
也   d
这么   r
难   a
案例   n
1   x
放弃   v
三房   n
硬指标   n
控制   v
总价   n
买   v
两   m
房   j
人物   n
孙小姐   nr
职业   n
公务员   n
在   p
经历   n
了   ul
半年   m
的   uj
踩盘   v
生涯   n
后   f
孙小姐   nr
依然   d
没有   v
找到   v
心仪   n
的   uj
安身   v
之所而   c
她   r
的   uj
婚期   t
却   d
越来越近   nr
孙小姐   nr
和   c
男友   n
计划   n
今年   t
下半年   t
结婚   v
为此   r
今年春节   t
一   m
过   ug
孙小姐   nr
和   c
男友   n
就   d
开始   v
看楼   v
男朋友   n
的   uj
家人   n
大概   d
能   v
拿出   v
30   m
万左右   m
作为   v
首付   v
和   c
装修   v
剩下   v
的   uj
两个   m
人   n
计划   n
按揭   vn
我们   r
测算   vn
过   ug
一个月   m
偿还   v
3000   m
元   m
左右   m
不成问题   l
这样   r
的   uj
条件   n
让   v
孙小姐   nr
觉得   v
在   p
靠近   v
市中心   n
的   uj
地方   n
买   v
一套   m
三居室   nr
不成问题   l
但   c
孙小姐   nr
抱怨   v
道   q
一些   m
稍   d
新   a
的   uj
小区   n
房型   n
朝向   n
较好   a
的   uj
均价   n
也   d
在   p
8000   m
元   m
/   x
平方米   q
以上   f
甚至   d
达到   v
9000   m
元   m
/   x
平方米   q
这样   r
的   uj
三居室   nr
总价   n
要   v
达到   v
90   m
万元   m
以上   f
以   p
这样   r
的   uj
价格   n
买   v
别人   r
住   v
过   ug
的   uj
二手房   n
实在   v
不值   n
孙小姐   nr
只能   v
打消   v
在   p
上述   b
区域   n
置业   n
的   uj
想法   v
但   c
三居室   nr
的   uj
标准   n
不能   v
放宽   v
否则   c
以后   f
有   v
了   ul
孩子   n
双方   n
父母   n
来   v
了   ul
没   v
地方   n
住   v
五一   m
黄金周   nr
他们   r
又   d
把   p
目标   n
放在   v
了   ul
白云区   nr
65   m
万   m
可以   c
买   v
一套   m
南北   ns
对流   n
的   uj
三居室   nr
还   d
能   v
望见   v
白云山   nr
价格   n
和   c
房子   n
本身   r
没什么   l
值得   v
挑剔   v
但   c
这里   r
到   v
两   m
人   n
上班   v
的   uj
地点   n
没有   v
直达   v
公交车   n
地铁   n
还要   c
两三年   m
才   d
开通   v
如果   c
买车   n
油费   n
停车费   n
都   d
不能   v
少   a
小区   n
一个   m
车位   n
要   v
12   m
万元   m
月租   n
400   m
元   m
算下来   l
与   p
城内   s
房子   n
区别   n
也   d
不大   a
他们   r
又   d
放弃   v
了   ul
如今   t
他们   r
只能   v
打算   v
放弃   v
三居室   nr
的   uj
硬   n
杠杠   n
先   d
在   p
相对   d
中心   n
的   uj
地方   n
买   v
一套   m
两居室   n
这样   r
能够   v
控制   v
住   v
总价   n
几年   m
后   f
再   d
考虑   v
换房   nz
而   c
前提   n
是   v
房价   n
不要   df
再   d
疯涨   a
下去   t
案例   n
2   x
老区   n
苦   a
寻   v
二手房   n
遇到   v
好   a
房   n
快   a
出手   v
人物   n
刘先生   nr
职业   n
服务业   n
在   p
经历   n
了   ul
将近   t
十年   m
的   uj
租房   n
生涯   n
后   f
刘先生   nr
认为   v
自己   r
现在   t
有   v
必要   d
住   v
上   f
属于   v
自己   r
的   uj
房子   n
从   p
今年   t
4   m
月   m
开始   v
他   r
就   d
开   v
着   uz
向   p
朋友   n
借来   v
的   uj
小车   n
来往   v
于   p
各个   r
楼盘   n
之间   f
他   r
很   d
想   v
在   p
越秀区   nr
买   v
套   q
70   m
-   x
90   m
平方米   q
价钱   n
40   m
万   m
以下   f
的   uj
两房一厅   n
或   c
小三房   nr
单位   n
可   v
