新一轮   nz
基础教育   l
课程   n
改革   vn
以   p
提高   v
学生   n
的   uj
综合   vn
素质   n
为   p
主旨   n
将   d
数学   n
的   uj
合作   vn
学习   v
和   c
自主   v
探究   vn
学习   v
为   p
主要   b
的   uj
学习   v
方式   n
因此   c
在   p
当前   t
形势   n
下   f
学生   n
学习   v
数学   n
的   uj
过程   n
应该   v
是   v
师生   nr
互动   d
和   c
生生   v
互动   d
的   uj
多边   r
活动   vn
的   uj
过程   n
其   r
能力   n
的   uj
形成   v
和   c
素质   n
的   uj
提高   v
主要   b
在   p
做   v
与   p
合作   vn
做   v
与   p
交流   n
中   f
形成   v
所以   c
新课程   n
理念   n
下   f
的   uj
数学   n
教学   n
应该   v
是   v
在   p
一定   d
情景   n
之下   f
的   uj
问题   n
发现   v
探究   vn
与   p
解决   v
因此   c
新课程   n
下   f
的   uj
数学   n
教学   n
是   v
创设   vn
适合   v
的   uj
问题   n
情景   n
在   p
问题   n
情景   n
之下   f
发挥   v
学生   n
自主   v
参与   v
积极   ad
探究   vn
的   uj
主体   n
意识   n
引导   v
学生   n
发现   v
问题   n
提出   v
问题   n
解决问题   n
再   d
提出   v
新   a
问题   n
再   d
解决   v
新   a
问题   n
的   uj
过程   n
这个   r
过   ug
这个   r
过程   n
是   v
学生   n
以   p
问题   n
为主   v
线   n
进行   v
数学   n
的   uj
学习   v
掌握   v
必要   d
的   uj
数学知识   n
在   p
互动   d
的   uj
过程   n
中   f
使   v
学生   n
的   uj
技能   n
和   c
能力   n
得到   v
提高   v
从而   c
形成   v
适应   v
未来   t
社会   n
的   uj
良好   a
数学   n
素质   n
一   m
做   v
数学   n
引导   v
学生   n
问问   n
是   v
探   v
之   u
开端   n
和   c
主线   n
为了   p
让   v
学生   n
能   v
问   v
教师   n
应该   v
创设   vn
适合   v
学生   n
实际   n
和   c
认知   v
水平   n
的   uj
问题   n
情景   n
让   v
学生   n
从中   d
找到   v
必要   d
的   uj
数学   n
信息   n
去   v
发现   v
需要   v
解决   v
的   uj
问题   n
因此   c
问题   n
情景   n
是   v
做   v
数学   n
的   uj
起点   n
开端   n
和   c
主线   n
能否   v
创设   vn
对   p
学生   n
具有   v
挑战性   n
和   c
吸引力   n
的   uj
问题   n
情景   n
是   v
学生   n
学好   v
数学   n
的   uj
关键   n
例如   v
教学   n
圆   n
的   uj
周长   n
有   v
两位   m
老师   n
有   v
两种   m
不同   a
的   uj
理念   n
便   d
有   v
了   ul
两种   m
不同   a
的   uj
做法   v
方法   n
一   m
教师   n
为   p
学生   n
提供   v
硬纸板   n
做成   v
的   uj
大小   b
不同   a
的   uj
圆片   n
要求   v
先   d
测量   vn
圆   n
的   uj
直径   n
再   d
一一   m
在   p
直尺   n
上   f
滚动   v
一周   m
并   c
记录   n
其   r
周长   n
然后   c
引导   v
学生   n
去   v
发现   v
圆周   t
长   a
和   c
直径   n
的   uj
关系   n
方法   n
二   m
教师   n
先   d
通过   p
多媒体   n
创设   vn
情景   n
然后   c
提供   v
材料   n
多种   m
材料   n
制作   vn
的   uj
圆片   n
和   c
纸片   n
上   f
的   uj
圆形   n
让   v
学生   n
去   v
探索   v
圆   n
的   uj
周长   n
和   c
直径   n
的   uj
关系   n
显然   ad
方法   n
一   m
是   v
让   v
学生   n
在   p
老师   n
的   uj
指令   n
下去   t
验证   v
圆   n
的   uj
周长   n
和   c
直径   n
的   uj
关系   n
是   v
重   a
结论   n
的   uj
记   n
数学   n
活动   vn
而   c
方法   n
二则   c
是   v
在   p
一定   d
情景   n
之下   f
从   p
问题   n
意识   n
为   p
线索   n
的   uj
做   v
数学   n
活动   vn
这里   r
问题   n
情景   n
的   uj
创设   vn
在于   v
学生   n
在   p
探究   vn
问题   n
的   uj
过程   n
中   f
不断   d
产生   n
认知   v
冲突   vn
圆形   n
的   uj
应用   v
无处不在   l
而   c
用   p
硬纸   n
做   v
的   uj
用   n
滚动   v
或   c
细绳   n
的   uj
方法   n
可以   c
测量   vn
但   c
软布   v
做   v
的   uj
圆   n
不能   v
这样   r
测量   vn
怎么办   l
问题   n
的   uj
解决   v
和   c
方法   n
知识   v
的   uj
局限性   n
的   uj
矛盾   an
不断   d
得到   v
激活   a
诱发   v
学生   n
的   uj
探求   v
欲望   v
和   c
热情   n
在   p
小组   n
合作   vn
学习   v
中   f
通过   p
相互   d
启发   v
探索   v
可以   c
用   p
折叠   v
的   uj
方法   n
但   c
对画   n
在   p
纸   n
上   f
的   uj
圆   n
这种   r
方法   n
又   d
受到   v
了   ul
挑战   vn
学生   n
自然   d
会   v
转入   v
给   p
周密   nr
的   uj
探索   v
之中   r
这样   r
整个   b
活动   vn
的   uj
过程   n
就是   d
学生   n
质疑问难   l
的   uj
过程   n
体现   v
了   ul
发现   v
问题   n
提出   v
问题   n
解决问题   n
的   uj
过程   n
二   m
做   v
数学   n
引导   v
学生   n
玩   v
少年儿童   l
的   uj
天性   n
就是   d
好玩   v
新课程   n
的   uj
数学   n
也   d
要   v
一   m
改过去   v
那   r
古板   n
的   uj
面孔   n
让   v
学生   n
好好   d
的   uj
玩玩   n
数学   n
就是   d
学生   n
在   p
积极   ad
情感   n
体验   n
下以   v
特质   n
或   c
物质化   n
活动   vn
方式   n
去   v
感知   v
事物   n
有   v
了   ul
问题   n
意识   n
的   uj
玩玩   n
就   d
有   v
了   ul
方向   n
如果说   c
问   v
是   v
学习   v
的   uj
起点   n
和   c
主线   n
那么   r
玩   v
就是   d
探寻   v
主线   n
的   uj
活动   vn
方式   n
玩   v
数学   n
不仅   c
是   v
学生   n
的   uj
认知   v
过程   n
而且   c
是   v
师生   nr
之间   f
生   vn
生   vn
之间   f
的   uj
活动   vn
和   c
情感   n
交流   n
的   uj
饿   v
过程   n
情感   n
活动   vn
属于   v
动力系统   l
它   r
能   v
促使   v
主体   n
积极主动   n
的   uj
参与   v
玩   v
数学   n
的   uj
独特   a
之处   r
就   d
在于   v
学习   v
主体   n
处于   v
愉悦   a
的   uj
积极   ad
的   uj
心理   n
状态   n
下   f
主动   b
自觉   d
的   uj
去   v
做   v
它   r
和   c
被动   vn
的   uj
记   n
数学   n
相比   v
是   v
变要   v
我学   n
为   p
我   r
要   v
学   n
我   r
要   v
学   v
是   v
基于   p
学生   n
对   p
学习   v
的   uj
内在   b
需要   v
而要   c
我   r
学   v
则   d
是   v
基于   p
外在   b
的   uj
诱因   n
和   c
强制   v
学生   n
学习   v
数学   n
的   uj
内在   b
需要   v
主要   b
是   v
表现   v
在   p
对   p
学习   v
的   uj
兴趣   n
兴趣   n
有   v
直接   ad
和   c
间接   b
之   u
分   v
直接   ad
兴趣   n
直接   ad
指向   n
活动   vn
本身   r
间接   b
兴趣   n
指向   n
活动   vn
的   uj
结果   n
学生   n
有   v
了   ul
学习   v
的   uj
兴趣   n
学习   v
活动   vn
不再   d
是   v
一种   m
负担   v
而是   c
一种   m
享受   v
一种   m
榆   ng
快   a
的   uj
体验   n
才   d
会   v
越学越   nr
想   v
学   n
越学越   nr
愿意   v
学越   v
爱学   n
玩   v
必须   d
是   v
在   p
自主   v
探索   v
的   uj
基础   n
上   f
小组   n
合作   vn
之下   f
的   uj
玩   n
在   p
这种   r
情景   n
之下   f
的   uj
玩   n
才能   v
使   v
数学   n
学习   v
的   uj
课堂   n
变成   v
数学   n
研究   vn
和   c
人   n
与   p
人   n
合作   vn
交流   n
的   uj
场所   n
才能   v
提高   v
学生   n
适应   v
未来   t
社会   n
的   uj
必要   d
的   uj
适应   v
合作   vn
与   p
交流   n
的   uj
素质   n
三   m
做   v
数学   n
引导   v
学生   n
悟   v
悟   v
是   v
数学   n
以及   c
其他   r
任何   r
学习   v
的   uj
重要   a
阶段   n
悟   v
一般   a
是   v
在   p
感觉   n
和   c
知觉   v
的   uj
基础   n
上   f
产生   n
的   uj
一种   m
领悟   n
或   c
感悟   v
是   v
人   n
的   uj
智慧   nr
和   c
品质   n
发展   vn
的   uj
一种   m
最   d
重要   a
的   uj
形式   n
如果   c
玩   v
是   v
动手   n
动眼   n
的   uj
外在   b
的   uj
动则   n
悟   v
是   v
动脑   n
动心   n
的   uj
内在   b
的   uj
动   n
玩   v
可以   c
为   p
悟   v
提供   v
外部   f
信息   n
而   c
悟   v
则   d
可以   c
使   v
玩   v
得以   v
升华   nz
如果   c
只是   c
玩则   n
只是   c
停留   v
在   p
感知   v
的   uj
层面   n
上玩   v
和   c
悟   v
互动   d
的   uj
过程   n
才   d
是   v
做   v
数学   n
的   uj
最佳   z
途径   n
悟   v
不仅   c
是   v
一个   m
过程   n
也   d
是   v
数学   n
学习   v
的   uj
重要   a
结果   n
当   t
学生   n
有所   n
悟   v
的   uj
时候   n
才   d
是   v
真的   d
有所   n
收获   v
而   c
悟   v
不能   v
由   p
别人   r
说出   v
或   c
代替   v
而   c
必须   d
是   v
在   p
主观努力   l
之下   f
的   uj
自身   r
的   uj
一种   m
体验   n
和   c
顿悟   v
教师   n
只能   v
通过   p
合理   vn
的   uj
情景   n
创设   vn
合理   vn
的   uj
原形   n
启发   v
引导   v
他们   r
自己   r
去   v
经历   n
知识   v
的   uj
发现   v
过程   n
和   c
方法   n
的   uj
形成   v
过程   n
而   c
不是   c
简单   a
的   uj
告诉   v
也   d
不是   c
简单   a
的   uj
暗示   v
或   c
引诱   v
要   v
采取   v
手段   n
充分调动   l
学生   n
的   uj
思维   n
来悟   v
四   m
做   v
数学   n
引导   v
学生   n
用   p
《   x
数学课程   n
标准   n
》   x
指出   v
要   v
使   v
学生   n
初步   d
学会   n
运用   vn
数学   n
的   uj
思维   n
方式   n
去   v
观察   v
分析   vn
现实   n
社会   n
去   v
解决   v
日常生活   i
中   f
和   c
其它   r
学科   n
学习   v
中   f
的   uj
问题   n
增强   v
应用   v
数学   n
的   uj
意识   n
要   v
鼓励   v
学生   n
面对   v
实际   n
问题   n
时能   n
主动   b
尝试   vn
着   uz
从   p
数学   n
的   uj
角度   n
运用   vn
所学   n
的   uj
知识   v
和   c
方法   n
寻找   v
解决问题   n
的   uj
策略   n
可见   v
数学   n
应用   v
是   v
数学   n
教学   n
首要   b
的   uj
和   c
基本   n
的   uj
目标   n
也   d
是   v
当前   t
数学课程   n
改革   vn
的   uj
要点   n
之一   r
数学   n
只有   c
回到   v
生活   vn
中去   t
才   d
会   v
显示   v
其   r
价值   n
展示   v
其   r
魅力   n
学生   n
只有   c
回到   v
生活   vn
中去   t
用   p
数学   n
才能   v
真正   d
实现   v
人   n
人学   n
