渝   j
人   n
考   v
〔   x
2006   m
〕   x
32   m
号   m
关于   p
做好   v
2006   m
年度   n
造价   v
工程师   n
执业资格   n
考试   vn
考务   vn
工作   vn
的   uj
通知   v
各   r
区县   n
(   x
自治县   ns
市   n
)   x
人事局   n
考试   vn
管理   vn
部门   n
市级   n
各   r
部门   n
人事   n
(   x
干部   n
)   x
处   n
根据   p
人事部   n
建设部   nt
《   x
关于   p
印发   nz
造价   v
工程师   n
执业资格   n
制度   n
暂行规定   b
的   uj
通知   v
》   x
(   x
人   n
发   v
[   x
1996   m
]   x
77   m
号   m
)   x
人事部   n
建设部   nt
《   x
关于   p
实施   v
造价   v
工程师   n
执业资格   n
考试   vn
有关   vn
问题   n
的   uj
通知   v
》   x
(   x
人   n
发   v
[   x
1998   m
]   x
8   m
号   m
)   x
和   c
人事部人事考试中心   l
《   x
关于   p
做好   v
2006   m
年度   n
造价   v
工程师   n
执业资格   n
考试   vn
考务   vn
工作   vn
的   uj
通知   v
》   x
(   x
人   n
考   v
中心   n
函   n
[   x
2006   m
]   x
79   m
号   m
)   x
的   uj
规定   n
为   p
切实做好   l
我市   r
2006   m
年度   n
造价   v
工程师   n
执业资格   n
考试   vn
考务   vn
工作   vn
现   tg
将   d
有关   vn
事项   n
通知   v
如下   t
一   m
报名   v
时间   n
2006   m
年   m
5   m
月   m
10   m
日   m
—   x
5   m
月   m
31   m
日   m
二   m
考试   vn
时间   n
及   c
科目   n
10   m
月   m
14   m
日   m
900   m
—   x
1130   m
工程造价   n
管理   vn
基础理论   n
与   p
相关   v
法规   n
1400   m
—   x
1700   m
工程造价   n
计价   n
与   p
控制   v
10   m
月   m
15   m
日   m
900   m
—   x
1130   m
建设工程   n
技术   n
与   p
计量   n
（   x
土建   ns
安装   v
）   x
1400   m
—   x
1800   m
工程造价   n
案例   n
分析   vn
三   m
报考   v
条件   n
㈠   x
凡   d
中华人民共和国   ns
公民   n
遵纪守法   l
并   c
具备   v
以下   f
条件   n
之一   r
者   k
均   d
可   v
申请   v
参加   v
造价   v
工程师   n
执业资格   n
考试   vn
1   x
．   x
工程造价   n
专业   n
大专   n
毕业   n
从事   v
工程造价   n
业务   n
工作   vn
满   a
五年   t
；   x
工程   n
或   c
工程   n
经济   n
类   q
大专   n
毕业   n
从事   v
工程造价   n
业务   n
工作   vn
满   a
六年   m
2   x
．   x
工程造价   n
专业   n
本科毕业   n
从事   v
工程造价   n
业务   n
工作   vn
满   a
四年   m
；   x
工程   n
或   c
工程   n
经济   n
类   q
本科毕业   n
从事   v
工程造价   n
业务   n
工作   vn
满   a
五年   t
3   x
．   x
获   v
上述   b
专业   n
第二   m
学士学位   n
或   c
研究生班   n
毕业   n
和   c
获   v
硕士学位   n
从事   v
工程造价   n
业务   n
工作   vn
满   a
三年   m
4   x
．   x
获   v
上述   b
专业   n
博士学位   n
从事   v
工程造价   n
业务   n
工作   vn
满   a
二年   m
㈡   x
免试   vn
二   m
科   n
条件   n
在   p
造价   v
工程师   n
执业资格   n
制度   n
暂行规定   b
（   x
人   n
发   v
[   x
1996   m
]   x
77   m
号   m
）   x
下发   v
之   u
日前   t
已   d
受聘   v
担任   v
高级   b
专业   n
技术   n
职务   n
并   c
具备   v
下列   v
条件   n
之一   r
者   k
可   v
免试   vn
工程造价   n
管理   vn
基础理论   n
与   p
相关   v
法规   n
建设工程   n
技术   n
与   p
计量   n
两个   m
科目   n
只   d
参加   v
工程造价   n
计价   n
与   p
控制   v
工程造价   n
案例   n
分析   vn
两个   m
科目   n
的   uj
考试   vn
1   x
．   x
1970   m
年   m
（   x
含   n
1970   m
年   m
下同   v
)   x
以前   f
工程   n
或   c
工程   n
经济   n
类   q
本科毕业   n
从事   v
工程造价   n
业务   n
满   a
15   m
年   m
2   x
．   x
1970   m
年   m
以前   f
工程   n
或   c
工程   n
经济   n
类   q
大专   n
毕业   n
从事   v
工程造价   n
业务   n
满   a
20   m
年   m
3   x
．   x
1970   m
年   m
以前   f
工程   n
或   c
工程   n
经济   n
类   q
中专   j
毕业   n
从事   v
工程造价   n
业务   n
满   a
25   m
年   m
㈢   x
香港   ns
澳门   ns
居民   n
均   d
可   v
按照   p
规定   n
的   uj
程序   n
和   c
要求   v
申请   v
参加   v
全国   n
造价   v
工程师   n
执业资格   n
考试   vn
在   p
报名   v
时应   n
向   p
当地   s
考试   vn
报名   v
机构   n
提交   v
本人   r
身份证明   n
凡   d
报名条件   n
中   f
有   v
专业   n
学历   n
和   c
从事   v
相关   v
专业   n
工作   vn
年限   n
规定   n
的   uj
在   p
报名   v
时   ng
还   d
应   v
提交   v
国务院   nt
教育   vn
行政部门   n
认可   v
的   uj
相应   v
专业   n
学历   n
或   c
学位证书   n
以及   c
相应   v
专业   n
机构   n
从事   v
相关   v
专业   n
工作   vn
年限   n
的   uj
证明   n
四   m
报名   v
要求   v
㈠   x
报名   v
卡   n
报名   v
程序   n
1   x
．   x
考生   v
须   d
按   p
要求   v
认真   ad
填涂   v
《   x
重庆市   ns
资格考试   n
报名   v
卡   n
》   x
(   x
以下   f
简称   v
《   x
报名   v
卡   n
